源地址         	目的地址       	包数	字节数 	时间               	源端口	目的端口	TCP标志	传输协议	源省份	目的省份	源国家	目的国家	
123.150.182.182	218.4.60.155   	5000	300000 	2016/05/13T20:22:17	29208 	80      	----A- 	TCP     	天津  	江苏    	中国  	中国    	
218.4.60.155   	114.242.248.92 	3000	4230000	2016/05/13T20:08:34	80    	31625   	----A- 	TCP     	江苏  	北京    	中国  	中国    	
218.4.60.155   	222.249.242.134	1000	1484000	2016/05/13T20:25:52	80    	31637   	----A- 	TCP     	江苏  	北京    	中国  	中国    	
218.4.60.155   	1.202.187.49   	1000	1504000	2016/05/13T20:24:08	80    	59433   	----A- 	TCP     	江苏  	北京    	中国  	中国    	
111.205.162.1  	218.4.60.155   	3000	156000 	2016/05/13T20:06:59	2051  	80      	----A- 	TCP     	北京  	江苏    	中国  	中国    	
106.2.232.222  	218.4.60.155   	1000	54000  	2016/05/13T20:28:45	5433  	80      	----A- 	TCP     	北京  	江苏    	中国  	中国    	
203.208.60.145 	218.4.60.155   	1000	66000  	2016/05/13T19:37:37	43463 	80      	----A- 	TCP     	北京  	江苏    	中国  	中国    	
222.249.242.134	218.4.60.155   	2000	120000 	2016/05/13T20:25:50	31631 	80      	-S---- 	TCP     	北京  	江苏    	中国  	中国    	
218.4.60.155   	221.221.207.9  	5000	910000 	2016/05/13T20:11:22	80    	33993   	---PA- 	TCP     	江苏  	北京    	中国  	中国    	
218.4.60.155   	114.111.167.196	1000	56000  	2016/05/13T20:23:26	80    	33351   	F---A- 	TCP     	江苏  	上海    	中国  	中国    	
106.39.189.227 	218.4.60.155   	1000	54000  	2016/05/13T20:19:57	21821 	80      	----A- 	TCP     	湖南  	江苏    	中国  	中国    	
218.4.60.155   	106.39.189.227 	1000	44000  	2016/05/13T20:21:00	80    	21818   	F---A- 	TCP     	江苏  	湖南    	中国  	中国    	
218.4.60.155   	115.230.125.147	5000	200000 	2016/05/13T20:12:54	8998  	64316   	--R-A- 	TCP     	江苏  	浙江    	中国  	中国    	
218.4.60.155   	121.236.127.94 	2000	2960000	2016/05/13T20:25:15	80    	1426    	----A- 	TCP     	江苏  	江苏    	中国  	中国    	
218.4.60.155   	203.208.60.145 	1000	1432000	2016/05/13T20:03:47	80    	38425   	----A- 	TCP     	江苏  	北京    	中国  	中国    	
118.114.242.106	115.230.125.147	1000	1432000	2016/05/13T20:03:47	80    	38425   	----A- 	TCP     	江苏  	浙江    	中国  	中国	
118.114.242.106	218.4.60.155	1000	1432000	2016/05/13T20:03:47	80    	38425   	----A- 	TCP     	江苏  	江苏    	中国  	中国
118.114.242.106	115.230.125.147	1000	1432000	2016/05/13T20:03:47	80    	38425   	----A- 	TCP     	江苏  	浙江    	中国  	中国	
