源IP	目的IP	PROTOCOL	请求域名	请求类型	请求次数	方向	权威应答标识	应答值	RR请求类型	IP	TTL	时间  采样比
61.233.50.47 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.137 383 20160207193255 1
61.233.50.38 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.136 85 20160207232010 1
61.233.50.42 8.8.4.4 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.136 458 20160203225726 1
61.233.50.37 8.8.4.4 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.135 162 20160207004915 1
61.233.50.40 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.136 90 20160203000541 1
61.233.50.45 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.137 256 20160204093058 1
61.233.50.42 8.8.4.4 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.135 337 20160206070240 1
61.233.50.36 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.135 77 20160203110837 1
61.233.50.35 8.8.4.4 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.137 99 20160206150738 1
61.233.50.47 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.135 50 20160207040613 1
61.233.50.39 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.137 87 20160207185829 1
61.233.50.40 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.135 112 20160201065419 1
61.233.50.40 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.137 533 20160204113255 1
61.233.50.41 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.137 402 20160203053801 1
61.233.50.41 8.8.4.4 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.135 399 20160205024332 1
61.233.50.45 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.135 281 20160203141515 1
61.233.50.41 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.137 20 20160206235853 1
61.233.50.37 8.8.4.4 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.136 62 20160206005633 1
61.233.50.38 8.8.4.4 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.136 37 20160203061945 1
61.233.50.45 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.135 520 20160207100632 1
222.43.32.18 8.8.4.4 17 www.doas.com a 1 0 0 MULL a 61.236.204.236 450 20160205091525 1
222.43.32.16 8.8.4.4 17 www.doas.com a 1 1 0 MULL a 61.236.204.236 350 20160205115940 1
222.43.32.9 8.8.4.4 17 www.doas.com a 1 1 0 MULL a 61.236.204.238 593 20160205154516 1
222.43.32.11 8.8.8.8 17 www.doas.com a 1 2 0 MULL a 61.236.204.236 524 20160205112435 1
222.43.32.20 8.8.8.8 17 www.doas.com a 1 1 0 MULL a 61.236.204.236 546 20160206201354 1
222.43.32.19 8.8.4.4 17 www.doas.com a 1 0 0 MULL a 61.236.204.237 323 20160204141507 1
222.43.32.13 8.8.4.4 17 www.doas.com a 1 2 0 MULL a 61.236.204.238 177 20160202075955 1
222.43.32.16 8.8.8.8 17 www.doas.com a 1 0 0 MULL a 61.236.204.237 503 20160201201009 1
222.43.32.18 8.8.4.4 17 www.doas.com a 1 1 0 MULL a 61.236.204.238 540 20160202033111 1
222.43.32.19 8.8.8.8 17 www.doas.com a 1 1 0 MULL a 61.236.204.237 101 20160204193408 1
222.43.32.11 8.8.4.4 17 www.doas.com a 1 0 0 MULL a 61.236.204.238 337 20160203122339 1
222.43.32.11 8.8.8.8 17 www.doas.com a 1 0 0 MULL a 61.236.204.237 84 20160207032027 1
222.43.32.17 8.8.8.8 17 www.doas.com a 1 0 0 MULL a 61.236.204.236 140 20160202085033 1
222.43.32.12 8.8.8.8 17 www.doas.com a 1 2 0 MULL a 61.236.204.238 142 20160206012858 1
222.43.32.17 8.8.8.8 17 www.doas.com a 1 0 0 MULL a 61.236.204.237 373 20160202050555 1
222.43.32.15 8.8.8.8 17 www.doas.com a 1 0 0 MULL a 61.236.204.238 8 20160202231517 1
222.43.32.10 8.8.8.8 17 www.doas.com a 1 0 0 MULL a 61.236.204.238 143 20160206104531 1
222.43.32.9 8.8.8.8 17 www.doas.com a 1 1 0 MULL a 61.236.204.237 327 20160201193732 1
222.43.32.20 8.8.8.8 17 www.doas.com a 1 2 0 MULL a 61.236.204.237 229 20160207122535 1
222.43.32.18 8.8.4.4 17 www.doas.com a 1 2 0 MULL a 61.236.204.236 25 20160204214100 1
222.43.32.16 8.8.4.4 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.135 134 20160202012530 1
222.43.32.13 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.135 328 20160207152356 1
222.43.32.18 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.137 277 20160202074317 1
222.43.32.17 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 418 20160206141423 1
222.43.32.10 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 75 20160201085203 1
222.43.32.15 8.8.4.4 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.136 284 20160207075947 1
222.43.32.15 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 466 20160203045546 1
222.43.32.17 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.136 560 20160204015504 1
222.43.32.19 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 327 20160205003930 1
222.43.32.18 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.137 486 20160207114412 1
222.43.32.17 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.136 107 20160201143732 1
222.43.32.18 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.137 481 20160207105324 1
222.43.32.19 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.137 65 20160203180441 1
222.43.32.16 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.136 337 20160202073323 1
222.43.32.20 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.135 258 20160207163859 1
222.43.32.15 8.8.4.4 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.137 66 20160207091718 1
222.43.32.13 8.8.4.4 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.135 389 20160206141319 1
222.43.32.9 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 266 20160203094503 1
222.43.32.15 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.135 61 20160207222833 1
222.43.32.20 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.137 341 20160207210928 1
210.33.125.244 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 414 20160202193607 1
210.33.126.2 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.135 238 20160207150038 1
210.33.125.244 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.136 403 20160204085731 1
210.33.125.239 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.137 304 20160205105641 1
210.33.126.2 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.137 412 20160206191806 1
210.33.125.244 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.136 299 20160203152736 1
210.33.126.2 8.8.4.4 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.135 254 20160201064356 1
210.33.125.250 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.136 551 20160207165037 1
210.33.125.247 8.8.4.4 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.137 287 20160207003940 1
210.33.126.3 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.136 190 20160203222118 1
210.33.126.1 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 359 20160205142029 1
210.33.126.7 8.8.4.4 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.137 528 20160201081447 1
210.33.125.240 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 237 20160205000927 1
210.33.126.2 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.137 285 20160203132950 1
210.33.125.250 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.135 306 20160207201012 1
210.33.126.2 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.137 158 20160201103406 1
210.33.126.2 8.8.8.8 17 www.lasxd.com a 1 1 0 MULL a 171.9.120.135 538 20160201033257 1
210.33.126.0 8.8.8.8 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 585 20160202141521 1
210.33.125.253 8.8.4.4 17 www.lasxd.com a 1 2 0 MULL a 171.9.120.136 323 20160202012415 1
210.33.125.244 8.8.8.8 17 www.lasxd.com a 1 0 0 MULL a 171.9.120.137 19 20160204082958 1
171.9.116.201 8.8.8.8 17 www.doas.com a 1 1 0 MULL a 61.236.204.237 363 20160207113914 1
171.9.116.211 8.8.8.8 17 www.doas.com a 1 2 0 MULL a 61.236.204.236 317 20160204112528 1
171.9.116.204 8.8.8.8 17 www.doas.com a 1 2 0 MULL a 61.236.204.238 530 20160204194537 1
171.9.116.211 8.8.8.8 17 www.doas.com a 1 0 0 MULL a 61.236.204.238 499 20160206111531 1
171.9.116.207 8.8.8.8 17 www.doas.com a 1 1 0 MULL a 61.236.204.238 255 20160206053018 1
171.9.116.209 8.8.4.4 17 www.doas.com a 1 1 0 MULL a 61.236.204.237 494 20160202031625 1
171.9.116.203 8.8.8.8 17 www.doas.com a 1 2 0 MULL a 61.236.204.237 190 20160202224114 1
171.9.116.204 8.8.8.8 17 www.doas.com a 1 1 0 MULL a 61.236.204.238 382 20160206170036 1
171.9.116.211 8.8.4.4 17 www.doas.com a 1 1 0 MULL a 61.236.204.237 519 20160205070049 1
171.9.116.210 8.8.4.4 17 www.doas.com a 1 2 0 MULL a 61.236.204.237 383 20160207124415 1
171.9.116.207 8.8.4.4 17 www.doas.com a 1 2 0 MULL a 61.236.204.238 550 20160206073505 1
171.9.116.197 8.8.8.8 17 www.doas.com a 1 1 0 MULL a 61.236.204.238 239 20160206061144 1
171.9.116.200 8.8.8.8 17 www.doas.com a 1 0 0 MULL a 61.236.204.236 239 20160204111331 1
171.9.116.206 8.8.4.4 17 www.doas.com a 1 1 0 MULL a 61.236.204.236 119 20160206043503 1
171.9.116.210 8.8.8.8 17 www.doas.com a 1 2 0 MULL a 61.236.204.236 188 20160203203209 1
171.9.116.213 8.8.4.4 17 www.doas.com a 1 0 0 MULL a 61.236.204.238 20 20160204153911 1
171.9.116.206 8.8.4.4 17 www.doas.com a 1 0 0 MULL a 61.236.204.237 378 20160202004525 1
171.9.116.205 8.8.4.4 17 www.doas.com a 1 0 0 MULL a 61.236.204.238 383 20160202080217 1
171.9.116.207 8.8.8.8 17 www.doas.com a 1 0 0 MULL a 61.236.204.237 107 20160203054526 1
171.9.116.208 8.8.8.8 17 www.doas.com a 1 1 0 MULL a 61.236.204.238 293 20160206091825 1
171.9.116.201 8.8.4.4 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 440 20160201062821 1
171.9.116.214 8.8.4.4 17 www.evil.com a 1 0 0 MULL a 171.10.2.174 243 20160202220323 1
171.9.116.217 8.8.8.8 17 www.evil.com a 1 0 0 MULL a 171.10.2.174 335 20160203065729 1
171.9.116.216 8.8.8.8 17 www.evil.com a 1 0 0 MULL a 171.10.2.173 157 20160201160209 1
171.9.116.218 8.8.4.4 17 www.evil.com a 1 2 0 MULL a 171.10.2.173 459 20160201133644 1
171.9.116.203 8.8.4.4 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 212 20160204212536 1
171.9.116.203 8.8.8.8 17 www.evil.com a 1 0 0 MULL a 171.10.2.173 126 20160204142745 1
171.9.116.201 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 432 20160204002438 1
171.9.116.207 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 226 20160202021655 1
171.9.116.215 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 524 20160201001522 1
171.9.116.196 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 507 20160206021249 1
171.9.116.205 8.8.8.8 17 www.evil.com a 1 0 0 MULL a 171.10.2.173 459 20160207010657 1
171.9.116.206 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 101 20160206133407 1
171.9.116.214 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 220 20160207204054 1
171.9.116.199 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.173 76 20160203134058 1
171.9.116.210 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 82 20160204042031 1
171.9.116.205 8.8.8.8 17 www.evil.com a 1 0 0 MULL a 171.10.2.174 471 20160205001559 1
171.9.116.202 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 518 20160204073129 1
171.9.116.200 8.8.8.8 17 www.evil.com a 1 0 0 MULL a 171.10.2.173 500 20160201133728 1
171.9.116.207 8.8.4.4 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 99 20160204150221 1
61.232.70.239 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.173 199 20160202035944 1
61.232.70.231 8.8.8.8 17 www.evil.com a 1 1 0 MULL a 171.10.2.174 301 20160203122400 1
61.232.70.235 8.8.8.8 17 www.evil.com a 1 0 0 MULL a 171.10.2.174 257 20160205011039 1
61.232.70.227 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 95 20160202210746 1
61.232.70.234 8.8.4.4 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 260 20160201181617 1
61.232.70.236 8.8.8.8 17 www.evil.com a 1 0 0 MULL a 171.10.2.173 79 20160205011736 1
61.232.70.227 8.8.8.8 17 www.evil.com a 1 0 0 MULL a 171.10.2.173 76 20160202145659 1
61.232.70.237 8.8.4.4 17 www.evil.com a 1 0 0 MULL a 171.10.2.173 203 20160202160417 1
61.232.70.242 8.8.8.8 17 www.evil.com a 1 2 0 MULL a 171.10.2.174 496 20160201043821 1
